category,items,Alcampo,Mercadona,Dia,Consum,Bonpreu Esclat,Carrefour,Caprabo,Condis,Ametller Origen
Seeds,4,1.72,2.04,2.04,1.98,1.97,1.96,2.06,2.03,2.09
Starches,2,2.42,2.62,2.59,2.83,1.96,2.33,2.50,1.99,2.35
Veggies,8,2.88,2.85,3.30,2.89,3.52,3.11,3.35,3.50,3.50
Fruit,4,1.92,2.16,2.29,2.22,3.09,2.13,3.06,2.81,2.99
Avocado,1,4.98,4.70,3.76,5.00,5.29,4.99,5.00,7.98,4.58
Nuts,3,14.34,15.17,14.42,13.76,13.14,12.94,16.25,15.46,15.31
Meat,3,6.16,5.27,7.16,5.78,8.61,5.36,6.05,8.90,9.99
Yogurt,1,1.40,1.33,1.32,1.50,1.34,1.40,1.33,1.76,2.00
Eggs,1,2.59,3.00,3.00,3.00,2.99,3.19,3.00,3.85,2.99
