date,item,store,price,url
2026-05-26,Chicken thigh,Mercadona,4.20,https://tienda.mercadona.es/product/2777/contramuslos-de-pollo-sin-piel-bandeja
2026-05-26,Plain natural yogurt,Mercadona,1.33,https://tienda.mercadona.es/product/22313/yogur-natural-hacendado-pack-6
2026-05-26,Eggs (up to 12),Mercadona,3.00,https://tienda.mercadona.es/product/31505/huevos-medianos-m-paquete
2026-05-26,Brown rice,Dia,1.65,https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/61996
2026-05-26,Dried lentils,Dia,1.95,https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/158
2026-05-26,Cooked chickpeas,Dia,2.13,https://www.dia.es/arroz-pastas-y-legumbres/garbanzos-y-alubias/p/1232
2026-05-26,Dried white beans,Dia,2.45,https://www.dia.es/arroz-pastas-y-legumbres/garbanzos-y-alubias/p/154
2026-05-26,Potato,Dia,1.89,https://www.dia.es/verduras/patatas-y-zanahorias/p/5631
2026-05-26,Sweet potato,Dia,3.29,https://www.dia.es/verduras/patatas-y-zanahorias/p/60753
2026-05-26,Onion,Dia,1.00,https://www.dia.es/verduras/ajos-cebollas-y-puerros/p/11459
2026-05-26,Carrot,Dia,1.35,https://www.dia.es/verduras/patatas-y-zanahorias/p/11421
2026-05-26,Bell pepper,Dia,2.38,https://www.dia.es/verduras/tomates-pimientos-y-pepinos/p/102283
2026-05-26,Mushroom,Dia,5.96,https://www.dia.es/verduras/setas-y-champinones/p/271527
2026-05-26,Cauliflower,Dia,1.99,https://www.dia.es/verduras/brocoli-coliflor-y-judias-verdes/p/278856
2026-05-26,Spinach,Dia,5.96,https://www.dia.es/verduras/lechugas-y-hojas-verdes/p/105301
2026-05-26,Green beans,Dia,4.78,https://www.dia.es/verduras/brocoli-coliflor-y-judias-verdes/p/11416
2026-05-26,Eggplant,Dia,2.97,https://www.dia.es/verduras/calabacin-calabaza-y-berenjena/p/190830
2026-05-26,Banana,Dia,1.19,https://www.dia.es/frutas/platanos-y-bananas/p/42070
2026-05-26,Apple,Dia,1.99,https://www.dia.es/frutas/manzanas-y-peras/p/171233
2026-05-26,Kiwi,Dia,3.99,https://www.dia.es/frutas/frutas-tropicales/p/270541
2026-05-26,Orange,Dia,1.99,https://www.dia.es/frutas/naranjas-mandarinas-y-limones/p/175058
2026-05-26,Avocado,Dia,3.76,https://www.dia.es/frutas/frutas-tropicales/p/220373
2026-05-26,Almonds,Dia,11.50,https://www.dia.es/aperitivos-y-frutos-secos/frutos-secos/p/222910
2026-05-26,Walnuts,Dia,12.00,https://www.dia.es/aperitivos-y-frutos-secos/frutos-secos/p/309779
2026-05-26,Hazelnuts,Dia,19.75,https://www.dia.es/aperitivos-y-frutos-secos/frutos-secos/p/125616
2026-05-26,Pork loin,Dia,7.49,https://www.dia.es/carnes/cerdo/p/290994
2026-05-26,Chicken breast,Dia,6.99,https://www.dia.es/carnes/pollo/p/17936
2026-05-26,Chicken thigh,Dia,6.99,https://www.dia.es/carnes/pollo/p/41736
2026-05-26,Plain natural yogurt,Dia,1.32,https://www.dia.es/yogures-y-postres/yogures-naturales-y-desnatados/p/128591
2026-05-26,Eggs (up to 12),Dia,3.00,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274010
2026-05-26,Brown rice,Consum,1.69,https://tienda.consum.es/es/p/arroz-integral/7413370
2026-05-26,Dried lentils,Consum,1.65,https://tienda.consum.es/es/p/lenteja-parda-roja/7415029
2026-05-26,Cooked chickpeas,Consum,2.13,https://tienda.consum.es/es/p/garbanzo-cocido-frasco/7043987
2026-05-26,Dried white beans,Consum,2.45,https://tienda.consum.es/es/p/alubia-blanca-paquete/7316755
